
				 Aum Sri Sai Ram
FER on AffectNet using GACNN


Total included  287651 {0: 74874, 1: 134415, 2: 25459, 3: 14090, 4: 6378, 5: 3803, 6: 24882, 7: 3750}
Total included  4000 {0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500}
length of  train Database for training: 287651
length of  test Database: 4000
Training starting:

Training Epoch: [0][0/2248]	Time  (12.921242475509644)	Data (3.7475874423980713)	loss  (2.0778088569641113)	Prec1  (10.15625) 	
Training Epoch: [0][1600/2248]	Time  (2.279516676528092)	Data (0.004686253432703346)	loss  (1.1325587377110398)	Prec1  (57.96718978881836) 	
Training Epoch: [0][1700/2248]	Time  (2.2782355495791515)	Data (0.004528923500011698)	loss  (1.115170593860218)	Prec1  (58.67182540893555) 	
Training Epoch: [0][1800/2248]	Time  (2.2781415006837733)	Data (0.0044017341122370435)	loss  (1.0979717302362102)	Prec1  (59.36111831665039) 	
Training Epoch: [0][1900/2248]	Time  (2.278041261801401)	Data (0.004295911367537786)	loss  (1.0823130966298897)	Prec1  (59.983642578125) 	
Training Epoch: [0][2000/2248]	Time  (2.277750846804648)	Data (0.004198336827641782)	loss  (1.0660843814926586)	Prec1  (60.645851135253906) 	
Training Epoch: [0][2100/2248]	Time  (2.277799932460794)	Data (0.004106306564461782)	loss  (1.0503477482413293)	Prec1  (61.28852462768555) 	
Training Epoch: [0][2200/2248]	Time  (2.2775251986708547)	Data (0.004013267445163476)	loss  (1.035721739751542)	Prec1  (61.87102508544922) 	
Testing Epoch: [0][0/32]	Time  (3.7805275917053223)	Data (2.738273859024048)	loss  (1.182660460472107)	Prec1  (60.9375) 	
Testing Epoch: [0][31/32]	Time  (0.6600164249539375)	Data (0.08565489947795868)	loss  (1.4194503917694092)	Prec1  (55.05000305175781) 	
Epoch: 0   Test Acc: 55.05000305175781

******************************
	Adjusted learning rate: 1

0.00095
Training Epoch: [1][0/2248]	Time  (6.52182936668396)	Data (4.087254047393799)	loss  (0.7160829901695251)	Prec1  (76.5625) 	
Training Epoch: [1][100/2248]	Time  (2.3192314511478536)	Data (0.04255824041838693)	loss  (0.6925848622133236)	Prec1  (75.5956039428711) 	
Training Epoch: [1][200/2248]	Time  (2.299581065106748)	Data (0.0222495646026004)	loss  (0.6821769600483909)	Prec1  (75.94837951660156) 	
Training Epoch: [1][300/2248]	Time  (2.2952643169517137)	Data (0.015423872938187812)	loss  (0.6746815246997085)	Prec1  (76.05117797851562) 	
Training Epoch: [1][400/2248]	Time  (2.290175445656527)	Data (0.012208706720214235)	loss  (0.6641432499499095)	Prec1  (76.39884948730469) 	
Training Epoch: [1][500/2248]	Time  (2.287562764333394)	Data (0.010282996171962716)	loss  (0.6565288042355916)	Prec1  (76.67009735107422) 	
Training Epoch: [1][600/2248]	Time  (2.286200727678575)	Data (0.008821235123569278)	loss  (0.6505742817373323)	Prec1  (76.83028411865234) 	
Training Epoch: [1][700/2248]	Time  (2.285238451012191)	Data (0.007918726190520762)	loss  (0.6427541041850363)	Prec1  (77.12085723876953) 	
Training Epoch: [1][800/2248]	Time  (2.283534176787187)	Data (0.007235395476761531)	loss  (0.634989720419254)	Prec1  (77.41202545166016) 	
Training Epoch: [1][900/2248]	Time  (2.2834707063257893)	Data (0.006720423036886505)	loss  (0.6275307295655834)	Prec1  (77.72960662841797) 	
Training Epoch: [1][1000/2248]	Time  (2.2830425454424574)	Data (0.006177961052238167)	loss  (0.6215829318100875)	Prec1  (77.94393157958984) 	
Training Epoch: [1][1100/2248]	Time  (2.2822215416342644)	Data (0.005702509000883873)	loss  (0.6151844022979962)	Prec1  (78.1789321899414) 	
Training Epoch: [1][1200/2248]	Time  (2.2815576113828713)	Data (0.005401931337075468)	loss  (0.6078696113194554)	Prec1  (78.48797607421875) 	
Training Epoch: [1][1300/2248]	Time  (2.2817425132255935)	Data (0.005189340541584504)	loss  (0.6010664550732137)	Prec1  (78.7411117553711) 	
Training Epoch: [1][1400/2248]	Time  (2.2810222280612593)	Data (0.0049944029460201765)	loss  (0.5944668047348147)	Prec1  (78.99212646484375) 	
Training Epoch: [1][1500/2248]	Time  (2.2813537921371814)	Data (0.004822302627055189)	loss  (0.5879367142419352)	Prec1  (79.225830078125) 	
Training Epoch: [1][1600/2248]	Time  (2.281865092235234)	Data (0.004676043726666729)	loss  (0.5825122693119609)	Prec1  (79.44205474853516) 	
Training Epoch: [1][1700/2248]	Time  (2.281487166355947)	Data (0.004505283337771927)	loss  (0.5770647075686435)	Prec1  (79.63927459716797) 	
Training Epoch: [1][1800/2248]	Time  (2.2807069961922757)	Data (0.004365803863127188)	loss  (0.5716254731835689)	Prec1  (79.85580444335938) 	
Training Epoch: [1][1900/2248]	Time  (2.28018454211063)	Data (0.004275170330747939)	loss  (0.5673633193511953)	Prec1  (80.02901458740234) 	
Training Epoch: [1][2000/2248]	Time  (2.280057368905231)	Data (0.0041184324076746414)	loss  (0.5624005663311523)	Prec1  (80.19623565673828) 	
Training Epoch: [1][2100/2248]	Time  (2.279850314538403)	Data (0.004032604924728052)	loss  (0.5577060986223361)	Prec1  (80.37393188476562) 	
Training Epoch: [1][2200/2248]	Time  (2.2794208215724767)	Data (0.003944195492166868)	loss  (0.5526380086286347)	Prec1  (80.56742858886719) 	
Testing Epoch: [1][0/32]	Time  (3.9055750370025635)	Data (2.817606210708618)	loss  (1.4195696115493774)	Prec1  (66.40625) 	
Testing Epoch: [1][31/32]	Time  (0.7080943211913109)	Data (0.0881195217370987)	loss  (1.8011570854187011)	Prec1  (52.72500228881836) 	
Epoch: 1   Test Acc: 52.72500228881836

******************************
	Adjusted learning rate: 2

0.0009025
Training Epoch: [2][0/2248]	Time  (6.01918625831604)	Data (3.537637948989868)	loss  (0.35378918051719666)	Prec1  (85.9375) 	
Training Epoch: [2][100/2248]	Time  (2.312512012991575)	Data (0.03761429361777731)	loss  (0.4321608555198896)	Prec1  (85.1098403930664) 	
Training Epoch: [2][200/2248]	Time  (2.2934582185982473)	Data (0.020262269831415432)	loss  (0.4297959405687911)	Prec1  (85.25730895996094) 	
Training Epoch: [2][300/2248]	Time  (2.2904937473246427)	Data (0.014147192140750315)	loss  (0.43165858550325187)	Prec1  (85.22632598876953) 	
Training Epoch: [2][400/2248]	Time  (2.2889693823835797)	Data (0.011241320065429383)	loss  (0.4295529813094627)	Prec1  (85.33744049072266) 	
Training Epoch: [2][500/2248]	Time  (2.2892932787150917)	Data (0.009541588153191907)	loss  (0.4272274218514532)	Prec1  (85.39639282226562) 	
Training Epoch: [2][600/2248]	Time  (2.287055091730965)	Data (0.00834735102344075)	loss  (0.4263277382600724)	Prec1  (85.44352722167969) 	
Training Epoch: [2][700/2248]	Time  (2.2857973585795404)	Data (0.0075210579451752795)	loss  (0.42328058038645566)	Prec1  (85.58309936523438) 	
Training Epoch: [2][800/2248]	Time  (2.2847336163086243)	Data (0.006889019119605589)	loss  (0.4196640332316638)	Prec1  (85.73365020751953) 	
Training Epoch: [2][900/2248]	Time  (2.2846117771161385)	Data (0.006432748661189445)	loss  (0.416551755763979)	Prec1  (85.86553192138672) 	
Training Epoch: [2][1000/2248]	Time  (2.28360074669212)	Data (0.00599233587305029)	loss  (0.41413570648723547)	Prec1  (85.9616928100586) 	
Training Epoch: [2][1100/2248]	Time  (2.2826374921876664)	Data (0.005602921711976262)	loss  (0.4109660019044114)	Prec1  (86.06096649169922) 	
Training Epoch: [2][1200/2248]	Time  (2.2827783061701687)	Data (0.00532303404351456)	loss  (0.40769791395886557)	Prec1  (86.17102813720703) 	
Training Epoch: [2][1300/2248]	Time  (2.2830573374449887)	Data (0.005039281244006732)	loss  (0.40500534778828806)	Prec1  (86.24615478515625) 	
Training Epoch: [2][1400/2248]	Time  (2.2827778480292897)	Data (0.004842806338923561)	loss  (0.4025830805493116)	Prec1  (86.31278991699219) 	
Training Epoch: [2][1500/2248]	Time  (2.2825909040515855)	Data (0.004688133961514264)	loss  (0.4001296035533425)	Prec1  (86.406982421875) 	
Training Epoch: [2][1600/2248]	Time  (2.2823564464192625)	Data (0.004541921734735417)	loss  (0.39806758257316693)	Prec1  (86.4937973022461) 	
Training Epoch: [2][1700/2248]	Time  (2.2818001226282765)	Data (0.0043893840157375975)	loss  (0.3955103114799217)	Prec1  (86.59197998046875) 	
Training Epoch: [2][1800/2248]	Time  (2.2820230034706923)	Data (0.004233501938433862)	loss  (0.3930171898823192)	Prec1  (86.6718978881836) 	
Training Epoch: [2][1900/2248]	Time  (2.2815159980025435)	Data (0.004124465583187226)	loss  (0.39088561587713694)	Prec1  (86.76395416259766) 	
Training Epoch: [2][2000/2248]	Time  (2.2820545852571534)	Data (0.004051350284254235)	loss  (0.3884981198497917)	Prec1  (86.86048126220703) 	
Training Epoch: [2][2100/2248]	Time  (2.2820597619797036)	Data (0.003990742094683568)	loss  (0.38678044869410655)	Prec1  (86.93293762207031) 	
Training Epoch: [2][2200/2248]	Time  (2.282178764828548)	Data (0.00391792481945407)	loss  (0.38451560543023255)	Prec1  (87.01761627197266) 	
Testing Epoch: [2][0/32]	Time  (3.7465624809265137)	Data (2.8988847732543945)	loss  (1.6755852699279785)	Prec1  (58.59375) 	
Testing Epoch: [2][31/32]	Time  (0.660085491836071)	Data (0.09066604822874069)	loss  (2.1407162704467773)	Prec1  (52.82500076293945) 	
Epoch: 2   Test Acc: 52.82500076293945

******************************
	Adjusted learning rate: 3

0.000857375
Training Epoch: [3][0/2248]	Time  (6.660971641540527)	Data (3.965423107147217)	loss  (0.4020998775959015)	Prec1  (87.5) 	
Training Epoch: [3][100/2248]	Time  (2.3384015088034147)	Data (0.04185628654933212)	loss  (0.3323615491390228)	Prec1  (88.98514556884766) 	
Training Epoch: [3][200/2248]	Time  (2.3123090492552194)	Data (0.022420358895069332)	loss  (0.33132096798858834)	Prec1  (89.02751922607422) 	
Training Epoch: [3][300/2248]	Time  (2.302534031313519)	Data (0.015556839217379244)	loss  (0.3281644289675741)	Prec1  (89.09623718261719) 	
Training Epoch: [3][400/2248]	Time  (2.2971033740816567)	Data (0.012412573631267595)	loss  (0.32195321914561076)	Prec1  (89.23200225830078) 	
Training Epoch: [3][500/2248]	Time  (2.297123131399859)	Data (0.010468364951615324)	loss  (0.32035197710205693)	Prec1  (89.35877990722656) 	
Training Epoch: [3][600/2248]	Time  (2.2924903653029)	Data (0.009145933459086743)	loss  (0.31768450659146524)	Prec1  (89.47067260742188) 	
Training Epoch: [3][700/2248]	Time  (2.2889152821392544)	Data (0.008229423691644817)	loss  (0.31435034852395216)	Prec1  (89.59522247314453) 	
Training Epoch: [3][800/2248]	Time  (2.287170267283693)	Data (0.007490020268567641)	loss  (0.3110147430730074)	Prec1  (89.71305084228516) 	
Training Epoch: [3][900/2248]	Time  (2.286105001673979)	Data (0.006900953796674621)	loss  (0.3097796570282268)	Prec1  (89.74317169189453) 	
Training Epoch: [3][1000/2248]	Time  (2.2846961135749932)	Data (0.0064696674937611215)	loss  (0.3091974935897223)	Prec1  (89.75009155273438) 	
Training Epoch: [3][1100/2248]	Time  (2.2841818830730913)	Data (0.006000446905123981)	loss  (0.30764665073638175)	Prec1  (89.84729766845703) 	
Training Epoch: [3][1200/2248]	Time  (2.2844517796760195)	Data (0.00570557615739122)	loss  (0.306523159109087)	Prec1  (89.90229797363281) 	
Training Epoch: [3][1300/2248]	Time  (2.283424320631445)	Data (0.005458138705582732)	loss  (0.30603452297149486)	Prec1  (89.9404296875) 	
Training Epoch: [3][1400/2248]	Time  (2.2828470753568313)	Data (0.005273974341719939)	loss  (0.3050346508101001)	Prec1  (89.96085357666016) 	
Training Epoch: [3][1500/2248]	Time  (2.282169489762054)	Data (0.005108921469091813)	loss  (0.30281175788166836)	Prec1  (90.02592468261719) 	
Training Epoch: [3][1600/2248]	Time  (2.2818893719136453)	Data (0.004889709959917706)	loss  (0.30129615920622)	Prec1  (90.07456970214844) 	
Training Epoch: [3][1700/2248]	Time  (2.281603609653587)	Data (0.0047427018483479815)	loss  (0.30030851742402725)	Prec1  (90.10600280761719) 	
Training Epoch: [3][1800/2248]	Time  (2.2814127676093796)	Data (0.004630314780896667)	loss  (0.2982721148448676)	Prec1  (90.18470001220703) 	
Training Epoch: [3][1900/2248]	Time  (2.281014855694357)	Data (0.00453695092058257)	loss  (0.29668940114213066)	Prec1  (90.25143432617188) 	
Training Epoch: [3][2000/2248]	Time  (2.2791623139846093)	Data (0.004422629374018435)	loss  (0.2951949981563929)	Prec1  (90.31500244140625) 	
Training Epoch: [3][2100/2248]	Time  (2.2774440574963735)	Data (0.004334919456071595)	loss  (0.2937955305490932)	Prec1  (90.36248016357422) 	
Training Epoch: [3][2200/2248]	Time  (2.275672970983669)	Data (0.004224557759598243)	loss  (0.29213385645135975)	Prec1  (90.41983795166016) 	
Testing Epoch: [3][0/32]	Time  (3.69535493850708)	Data (2.827988386154175)	loss  (1.5989990234375)	Prec1  (62.5) 	
Testing Epoch: [3][31/32]	Time  (0.7031625658273697)	Data (0.08844269812107086)	loss  (2.1185540943145753)	Prec1  (52.900001525878906) 	
Epoch: 3   Test Acc: 52.900001525878906

******************************
	Adjusted learning rate: 4

0.0008145062499999999
Training Epoch: [4][0/2248]	Time  (5.750796318054199)	Data (3.421640157699585)	loss  (0.3639001250267029)	Prec1  (86.71875) 	
Training Epoch: [4][100/2248]	Time  (2.275083952611036)	Data (0.036424849293019514)	loss  (0.24414376995646128)	Prec1  (92.11788177490234) 	
Training Epoch: [4][200/2248]	Time  (2.256531781818143)	Data (0.01896839711203504)	loss  (0.25041053110539024)	Prec1  (91.89598846435547) 	
Training Epoch: [4][300/2248]	Time  (2.252034136623243)	Data (0.01352471845886636)	loss  (0.25004397389599653)	Prec1  (91.96947479248047) 	
Training Epoch: [4][400/2248]	Time  (2.248635147575131)	Data (0.01060211331469757)	loss  (0.2474693638688311)	Prec1  (92.06281280517578) 	
Training Epoch: [4][500/2248]	Time  (2.2474239200888992)	Data (0.008838363750252182)	loss  (0.24756630847672978)	Prec1  (92.07054901123047) 	
Training Epoch: [4][600/2248]	Time  (2.246051483265374)	Data (0.007722622542928737)	loss  (0.24680568732804745)	Prec1  (92.09390258789062) 	
Training Epoch: [4][700/2248]	Time  (2.245810181200079)	Data (0.006976142929556026)	loss  (0.24465128169335243)	Prec1  (92.17747497558594) 	
Training Epoch: [4][800/2248]	Time  (2.246354662077257)	Data (0.00639175803176175)	loss  (0.24348517851473836)	Prec1  (92.22554016113281) 	
Training Epoch: [4][900/2248]	Time  (2.2461415033097007)	Data (0.005837074792080794)	loss  (0.24331629300256416)	Prec1  (92.23432922363281) 	
Training Epoch: [4][1000/2248]	Time  (2.2458724313444427)	Data (0.005402669325456038)	loss  (0.24257114380002617)	Prec1  (92.25540161132812) 	
Training Epoch: [4][1100/2248]	Time  (2.245835157874278)	Data (0.0050319051006292885)	loss  (0.240628724445764)	Prec1  (92.31380462646484) 	
Training Epoch: [4][1200/2248]	Time  (2.245519841739677)	Data (0.004829872657019927)	loss  (0.23960157027848059)	Prec1  (92.32865905761719) 	
Training Epoch: [4][1300/2248]	Time  (2.245526791535186)	Data (0.00463935432756616)	loss  (0.238561604529917)	Prec1  (92.35504150390625) 	
Training Epoch: [4][1400/2248]	Time  (2.2457463256296815)	Data (0.004484271424570567)	loss  (0.23809751801240622)	Prec1  (92.37654113769531) 	
Training Epoch: [4][1500/2248]	Time  (2.2454081385394558)	Data (0.004358048759882328)	loss  (0.23736880755400674)	Prec1  (92.41183471679688) 	
Training Epoch: [4][1600/2248]	Time  (2.245433059355231)	Data (0.0042327585107158824)	loss  (0.23666676456372787)	Prec1  (92.44320678710938) 	
Training Epoch: [4][1700/2248]	Time  (2.2454285733774086)	Data (0.004129392129403574)	loss  (0.23615083129948408)	Prec1  (92.4713363647461) 	
Training Epoch: [4][1800/2248]	Time  (2.2456748621917844)	Data (0.004009760730071971)	loss  (0.23501651234374585)	Prec1  (92.48897552490234) 	
Training Epoch: [4][1900/2248]	Time  (2.2458468695053107)	Data (0.003863793934476432)	loss  (0.23336844715333374)	Prec1  (92.53887939453125) 	
Training Epoch: [4][2000/2248]	Time  (2.2467254435402464)	Data (0.003848170471572685)	loss  (0.23162798899998968)	Prec1  (92.5892562866211) 	
Training Epoch: [4][2100/2248]	Time  (2.2474625881146046)	Data (0.0038206765675533392)	loss  (0.2304460067995272)	Prec1  (92.6370620727539) 	
Training Epoch: [4][2200/2248]	Time  (2.2474373132193537)	Data (0.0037758943981498223)	loss  (0.229546300325541)	Prec1  (92.66739654541016) 	
Testing Epoch: [4][0/32]	Time  (3.6096789836883545)	Data (2.777815341949463)	loss  (2.0926613807678223)	Prec1  (54.6875) 	
Testing Epoch: [4][31/32]	Time  (0.6640486642718315)	Data (0.08687761425971985)	loss  (2.678680431365967)	Prec1  (50.500003814697266) 	
Epoch: 4   Test Acc: 50.500003814697266

******************************
	Adjusted learning rate: 5

0.0007737809374999998
Training Epoch: [5][0/2248]	Time  (6.419138431549072)	Data (4.00507664680481)	loss  (0.147158682346344)	Prec1  (95.3125) 	
Training Epoch: [5][100/2248]	Time  (2.2866292637173493)	Data (0.04246924655272229)	loss  (0.20639741656803848)	Prec1  (93.57982635498047) 	
Training Epoch: [5][200/2248]	Time  (2.265954085250399)	Data (0.022105900209341476)	loss  (0.20848163335922346)	Prec1  (93.52845001220703) 	
Training Epoch: [5][300/2248]	Time  (2.2587433859359387)	Data (0.015789659316357584)	loss  (0.2033502458288424)	Prec1  (93.7188491821289) 	
Training Epoch: [5][400/2248]	Time  (2.2542621584009948)	Data (0.012662973784449095)	loss  (0.20181229210776877)	Prec1  (93.72662353515625) 	
Training Epoch: [5][500/2248]	Time  (2.25225258301832)	Data (0.010703674571480817)	loss  (0.20184621701162017)	Prec1  (93.72037506103516) 	
Training Epoch: [5][600/2248]	Time  (2.250518805572078)	Data (0.009330373040451583)	loss  (0.20222170567899297)	Prec1  (93.71620178222656) 	
Training Epoch: [5][700/2248]	Time  (2.249014408204083)	Data (0.008236428980480418)	loss  (0.20026748438236888)	Prec1  (93.7856674194336) 	
Training Epoch: [5][800/2248]	Time  (2.24754425678658)	Data (0.007337524649802219)	loss  (0.19890008953291824)	Prec1  (93.82119750976562) 	
Training Epoch: [5][900/2248]	Time  (2.2463685341601103)	Data (0.00684581268640787)	loss  (0.1960221275306833)	Prec1  (93.90521240234375) 	
Training Epoch: [5][1000/2248]	Time  (2.2455003735545156)	Data (0.006384188835913842)	loss  (0.1952166828018921)	Prec1  (93.93418884277344) 	
Training Epoch: [5][1100/2248]	Time  (2.2446981611087256)	Data (0.006052459618051305)	loss  (0.19538197296246088)	Prec1  (93.93236541748047) 	
Training Epoch: [5][1200/2248]	Time  (2.2443260838844497)	Data (0.005753430796106292)	loss  (0.19525934712376622)	Prec1  (93.94124603271484) 	
Training Epoch: [5][1300/2248]	Time  (2.244032095616639)	Data (0.005503310321570359)	loss  (0.19305345306400606)	Prec1  (94.01602172851562) 	
Training Epoch: [5][1400/2248]	Time  (2.2436868671346444)	Data (0.005234357036070514)	loss  (0.19127850838372487)	Prec1  (94.07119750976562) 	
Training Epoch: [5][1500/2248]	Time  (2.2438756349005753)	Data (0.005061904721701645)	loss  (0.1912451771166744)	Prec1  (94.07843017578125) 	
Training Epoch: [5][1600/2248]	Time  (2.2437162962204065)	Data (0.0049217153831543885)	loss  (0.19033518969444913)	Prec1  (94.1062240600586) 	
Training Epoch: [5][1700/2248]	Time  (2.2434822862671098)	Data (0.0047927987638604706)	loss  (0.1902454481654522)	Prec1  (94.09492492675781) 	
Training Epoch: [5][1800/2248]	Time  (2.2434625653410407)	Data (0.004681952194264701)	loss  (0.18977122859143006)	Prec1  (94.12348937988281) 	
Training Epoch: [5][1900/2248]	Time  (2.243680773378359)	Data (0.004575327156343816)	loss  (0.18879075921182253)	Prec1  (94.15562438964844) 	
Training Epoch: [5][2000/2248]	Time  (2.2440782426179258)	Data (0.0044623244589176965)	loss  (0.18713580090729431)	Prec1  (94.2009506225586) 	
Training Epoch: [5][2100/2248]	Time  (2.2442350572543392)	Data (0.004319355409523239)	loss  (0.18612552819501382)	Prec1  (94.22819519042969) 	
Training Epoch: [5][2200/2248]	Time  (2.244519819838521)	Data (0.004239985532296998)	loss  (0.18549975574267066)	Prec1  (94.24622344970703) 	
Testing Epoch: [5][0/32]	Time  (3.861180305480957)	Data (3.0294556617736816)	loss  (1.8835197687149048)	Prec1  (60.9375) 	
Testing Epoch: [5][31/32]	Time  (0.665527269244194)	Data (0.09474269300699234)	loss  (2.5179703102111817)	Prec1  (52.150001525878906) 	
Epoch: 5   Test Acc: 52.150001525878906

******************************
	Adjusted learning rate: 6

0.0007350918906249997
Training Epoch: [6][0/2248]	Time  (6.121081352233887)	Data (3.664592742919922)	loss  (0.16052696108818054)	Prec1  (93.75) 	
Training Epoch: [6][100/2248]	Time  (2.2831215575189874)	Data (0.038461390108165176)	loss  (0.17087466550050395)	Prec1  (94.69368743896484) 	
Training Epoch: [6][200/2248]	Time  (2.2636303818641017)	Data (0.020416454296206952)	loss  (0.1672411164018645)	Prec1  (94.65951538085938) 	
Training Epoch: [6][300/2248]	Time  (2.256143237269202)	Data (0.014370729756909747)	loss  (0.16643221520407256)	Prec1  (94.68698120117188) 	
Training Epoch: [6][400/2248]	Time  (2.253367192132812)	Data (0.011417314001449623)	loss  (0.16666161453820524)	Prec1  (94.73971557617188) 	
Training Epoch: [6][500/2248]	Time  (2.2515601678760704)	Data (0.009603974348056816)	loss  (0.16849674480017313)	Prec1  (94.71525573730469) 	
Training Epoch: [6][600/2248]	Time  (2.2509209645568036)	Data (0.008478056372897993)	loss  (0.16779338366998214)	Prec1  (94.74443054199219) 	
Training Epoch: [6][700/2248]	Time  (2.2499745837631986)	Data (0.007717016250022638)	loss  (0.16757365596213628)	Prec1  (94.77643585205078) 	
Training Epoch: [6][800/2248]	Time  (2.2491442398185586)	Data (0.007147905383068375)	loss  (0.16571157161941688)	Prec1  (94.8433609008789) 	
Training Epoch: [6][900/2248]	Time  (2.2488404701605487)	Data (0.006544066586849031)	loss  (0.1637613090307149)	Prec1  (94.90843963623047) 	
Training Epoch: [6][1000/2248]	Time  (2.248657273007678)	Data (0.006126558864033306)	loss  (0.16377147303505257)	Prec1  (94.90353393554688) 	
Training Epoch: [6][1100/2248]	Time  (2.248210435558946)	Data (0.005783788514721945)	loss  (0.16173998993245392)	Prec1  (94.97828674316406) 	
Training Epoch: [6][1200/2248]	Time  (2.248154516521838)	Data (0.005512317154032304)	loss  (0.1607588998241339)	Prec1  (95.00806427001953) 	
Training Epoch: [6][1300/2248]	Time  (2.2480017752211245)	Data (0.005307802688516533)	loss  (0.15950385657218583)	Prec1  (95.0386734008789) 	
Training Epoch: [6][1400/2248]	Time  (2.247922058534316)	Data (0.0050966024909336)	loss  (0.15836141700141776)	Prec1  (95.07605743408203) 	
Training Epoch: [6][1500/2248]	Time  (2.247800493621572)	Data (0.004906254399227826)	loss  (0.15822436273604293)	Prec1  (95.07984161376953) 	
Training Epoch: [6][1600/2248]	Time  (2.2473665409576586)	Data (0.004757506634428083)	loss  (0.1574625512939889)	Prec1  (95.1197509765625) 	
Training Epoch: [6][1700/2248]	Time  (2.247683362915963)	Data (0.004648836551870338)	loss  (0.15702658492430108)	Prec1  (95.14209747314453) 	
Training Epoch: [6][1800/2248]	Time  (2.247601425694069)	Data (0.004512945193174744)	loss  (0.1561514832191107)	Prec1  (95.17151641845703) 	
Training Epoch: [6][1900/2248]	Time  (2.24742750805469)	Data (0.004366443635036543)	loss  (0.15535718063455956)	Prec1  (95.2035903930664) 	
Training Epoch: [6][2000/2248]	Time  (2.247343956381604)	Data (0.004271019940850497)	loss  (0.1548538248332544)	Prec1  (95.23558807373047) 	
Training Epoch: [6][2100/2248]	Time  (2.247360692598433)	Data (0.004176394591043246)	loss  (0.15422508095536047)	Prec1  (95.26342010498047) 	
Training Epoch: [6][2200/2248]	Time  (2.2473994104063872)	Data (0.004109835743849952)	loss  (0.15362618116493498)	Prec1  (95.28375244140625) 	
Testing Epoch: [6][0/32]	Time  (4.073199987411499)	Data (3.19232177734375)	loss  (2.323256015777588)	Prec1  (57.03125) 	
Testing Epoch: [6][31/32]	Time  (0.6773925498127937)	Data (0.09983798116445541)	loss  (2.904267688751221)	Prec1  (50.150001525878906) 	
Epoch: 6   Test Acc: 50.150001525878906

******************************
	Adjusted learning rate: 7

0.0006983372960937497
Training Epoch: [7][0/2248]	Time  (5.7302610874176025)	Data (3.295461654663086)	loss  (0.1301048994064331)	Prec1  (96.875) 	
Training Epoch: [7][100/2248]	Time  (2.290031924106107)	Data (0.034716773741316084)	loss  (0.131140437530409)	Prec1  (95.93904876708984) 	
Training Epoch: [7][200/2248]	Time  (2.2710608415935765)	Data (0.018626209515244213)	loss  (0.13346897328819207)	Prec1  (96.03155517578125) 	
Training Epoch: [7][300/2248]	Time  (2.2636910427448362)	Data (0.013339349993835651)	loss  (0.1349403517834372)	Prec1  (95.98733520507812) 	
