
				 Aum Sri Sai Ram
FER on AffectNet-8 using OADN 


Namespace(arch='resnet50', batch_size=64, batch_size_t=64, database='Affectnet', end2end=True, epochs=60, evaluate=False, imagesize=224, lr=0.001, model_dir='checkpoints_affectnet8', momentum=0.9, num_attentive_regions=25, num_classes=8, num_regions=4, pretrained='pretrainedmodels/resnet50-19c8e357.pth', print_freq=100, resume='', root_path='../data/AffectNetdataset/Manually_Annotated_Images_aligned/', start_epoch=0, train_landmarksfile='../data/Affectnetmetadata/training_affectnet_landmarks_scores.pkl', train_list='../data/Affectnetmetadata/training.csv', valid_landmarksfile='../data/Affectnetmetadata/validation_affectnet_landmarks_scores.pkl', valid_list='../data/Affectnetmetadata/validation.csv', weight_decay=1e-05, workers=16)

img_dir:  ../data/AffectNetdataset/Manually_Annotated_Images_aligned/

checkpoints:  checkpoints_affectnet8
Total included  287651 {0: 74874, 1: 134415, 2: 25459, 3: 14090, 4: 6378, 5: 3803, 6: 24882, 7: 3750}
Total included  4000 {0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500}
length of  train Database for training: 287651
length of  test Database: 4000

Number of parameters:
Base Model: 23508032, Attention Branch:526600, Region Branch:526600 and Total: 24561232

Model loaded for layers 1-4 from vggface2 pretrainedmodels/vgg_msceleb_resnet50_ft_weight.pkl

Training starting:

Training Epoch: [0][0/4495]	att_loss  (2.076219081878662)	region_loss (9.529242515563965)	overall_loss (8.0386381149292)	Prec1  (9.375) 	
Training Epoch: [0][3900/4495]	att_loss  (2.0794206918492986)	region_loss (4.9160141188864275)	overall_loss (4.348695497517706)	Prec1  (56.6829833984375) 	
Training Epoch: [0][4000/4495]	att_loss  (2.079422036518725)	region_loss (4.8975264111389905)	overall_loss (4.333905600035557)	Prec1  (56.819000244140625) 	
Training Epoch: [0][4100/4495]	att_loss  (2.0794169372013505)	region_loss (4.88060709192415)	overall_loss (4.3203691244997415)	Prec1  (56.962860107421875) 	
Training Epoch: [0][4200/4495]	att_loss  (2.0794114904782797)	region_loss (4.865185262929312)	overall_loss (4.308030571888754)	Prec1  (57.07606506347656) 	
Training Epoch: [0][4300/4495]	att_loss  (2.0794072903413823)	region_loss (4.849212384063182)	overall_loss (4.295251428679072)	Prec1  (57.190189361572266) 	
Training Epoch: [0][4400/4495]	att_loss  (2.0793992882017602)	region_loss (4.834706954700355)	overall_loss (4.283645484426351)	Prec1  (57.29450607299805) 	
Testing [62/63]	att_loss  (2.0794013748168947)	region_loss (4.663332317352295)	overall_loss (4.1465461769104)	Prec@1  (58.750003814697266)	
Epoch: 0   Test Acc: 58.750003814697266
Epoch: 0  Best so far Test Acc: 58.750003814697266
Training Epoch: [1][0/4495]	att_loss  (2.0793232917785645)	region_loss (4.330661773681641)	overall_loss (3.880394220352173)	Prec1  (59.375) 	
Training Epoch: [1][100/4495]	att_loss  (2.079045012445733)	region_loss (4.50630530980554)	overall_loss (4.020853283381698)	Prec1  (58.694305419921875) 	
Training Epoch: [1][200/4495]	att_loss  (2.079229562436763)	region_loss (4.507182895840697)	overall_loss (4.021592288468015)	Prec1  (58.97854232788086) 	
Training Epoch: [1][300/4495]	att_loss  (2.079301340635433)	region_loss (4.483918974169861)	overall_loss (4.00299551083004)	Prec1  (59.473628997802734) 	
Training Epoch: [1][400/4495]	att_loss  (2.0793544716965826)	region_loss (4.464785894550885)	overall_loss (3.9876996638471645)	Prec1  (59.64385986328125) 	
Training Epoch: [1][500/4495]	att_loss  (2.0793297100447847)	region_loss (4.44574130509428)	overall_loss (3.9724590430954496)	Prec1  (59.76796340942383) 	
Training Epoch: [1][600/4495]	att_loss  (2.0792727890903264)	region_loss (4.437305261608765)	overall_loss (3.965698824944393)	Prec1  (59.90016555786133) 	
Training Epoch: [1][700/4495]	att_loss  (2.079282673891533)	region_loss (4.41208234901265)	overall_loss (3.9455224675220704)	Prec1  (59.99242401123047) 	
Training Epoch: [1][800/4495]	att_loss  (2.079278511054507)	region_loss (4.388055515051185)	overall_loss (3.926300166697984)	Prec1  (60.24695587158203) 	
Training Epoch: [1][900/4495]	att_loss  (2.079271955839405)	region_loss (4.386570202788291)	overall_loss (3.9251106052631544)	Prec1  (60.24556350708008) 	
Training Epoch: [1][1000/4495]	att_loss  (2.079287917225749)	region_loss (4.375801195036043)	overall_loss (3.9164985898253204)	Prec1  (60.34902572631836) 	
Training Epoch: [1][1100/4495]	att_loss  (2.0792825029288284)	region_loss (4.3630545791120126)	overall_loss (3.9063002149372292)	Prec1  (60.49046325683594) 	
Training Epoch: [1][1200/4495]	att_loss  (2.079279612343476)	region_loss (4.354098567756189)	overall_loss (3.8991348290820604)	Prec1  (60.56411361694336) 	
Training Epoch: [1][1300/4495]	att_loss  (2.0792747648929653)	region_loss (4.349817959003317)	overall_loss (3.895709372226501)	Prec1  (60.59401321411133) 	
Training Epoch: [1][1400/4495]	att_loss  (2.0792692686131304)	region_loss (4.3375278325867095)	overall_loss (3.885876171934358)	Prec1  (60.71444320678711) 	
Training Epoch: [1][1500/4495]	att_loss  (2.079255447476646)	region_loss (4.326381165214096)	overall_loss (3.8769560727494943)	Prec1  (60.812583923339844) 	
Training Epoch: [1][1600/4495]	att_loss  (2.07925925963674)	region_loss (4.315425837211204)	overall_loss (3.8681925734008273)	Prec1  (60.9238395690918) 	
Training Epoch: [1][1700/4495]	att_loss  (2.0792538955728843)	region_loss (4.3020931306409524)	overall_loss (3.8575253359084267)	Prec1  (60.99904251098633) 	
Training Epoch: [1][1800/4495]	att_loss  (2.0792564265533398)	region_loss (4.293252073613092)	overall_loss (3.850452997762584)	Prec1  (61.111881256103516) 	
Training Epoch: [1][1900/4495]	att_loss  (2.0792525987258905)	region_loss (4.284341324636148)	overall_loss (3.843323633584269)	Prec1  (61.21367263793945) 	
Training Epoch: [1][2000/4495]	att_loss  (2.0792587274077654)	region_loss (4.278176535849926)	overall_loss (3.838393027993335)	Prec1  (61.24281692504883) 	
Training Epoch: [1][2100/4495]	att_loss  (2.079256796371591)	region_loss (4.268422821032212)	overall_loss (3.830589669820866)	Prec1  (61.34058380126953) 	
Training Epoch: [1][2200/4495]	att_loss  (2.079252773607281)	region_loss (4.2627214515604575)	overall_loss (3.8260277690046864)	Prec1  (61.433013916015625) 	
Training Epoch: [1][2300/4495]	att_loss  (2.079245589599046)	region_loss (4.251189405842482)	overall_loss (3.8168006950438103)	Prec1  (61.53710174560547) 	
Training Epoch: [1][2400/4495]	att_loss  (2.079245881307428)	region_loss (4.242659776322993)	overall_loss (3.8099770499288614)	Prec1  (61.58957290649414) 	
Training Epoch: [1][2500/4495]	att_loss  (2.0792494385493177)	region_loss (4.23659783141797)	overall_loss (3.805128204684313)	Prec1  (61.659088134765625) 	
Training Epoch: [1][2600/4495]	att_loss  (2.0792513781902837)	region_loss (4.229276520249845)	overall_loss (3.7992715431332176)	Prec1  (61.751487731933594) 	
Training Epoch: [1][2700/4495]	att_loss  (2.0792521032215445)	region_loss (4.220738513784822)	overall_loss (3.7924412827454685)	Prec1  (61.83705520629883) 	
Training Epoch: [1][2800/4495]	att_loss  (2.079250114809313)	region_loss (4.21155507945027)	overall_loss (3.7850941371509155)	Prec1  (61.904232025146484) 	
Training Epoch: [1][2900/4495]	att_loss  (2.079245797932785)	region_loss (4.2082572301393215)	overall_loss (3.7824549937979675)	Prec1  (61.91668701171875) 	
Training Epoch: [1][3000/4495]	att_loss  (2.079243390332139)	region_loss (4.200226723611533)	overall_loss (3.776030106927426)	Prec1  (61.97309494018555) 	
Training Epoch: [1][3100/4495]	att_loss  (2.079240195253748)	region_loss (4.194901595151029)	overall_loss (3.771769364854283)	Prec1  (62.00822067260742) 	
Training Epoch: [1][3200/4495]	att_loss  (2.0792393998703482)	region_loss (4.188346435337728)	overall_loss (3.7665250777304453)	Prec1  (62.06703186035156) 	
Training Epoch: [1][3300/4495]	att_loss  (2.079236060696925)	region_loss (4.182376071634671)	overall_loss (3.761748118893156)	Prec1  (62.1284294128418) 	
Training Epoch: [1][3400/4495]	att_loss  (2.079236146107522)	region_loss (4.178680415084803)	overall_loss (3.758791610445215)	Prec1  (62.153133392333984) 	
Training Epoch: [1][3500/4495]	att_loss  (2.0792380724931165)	region_loss (4.1736946801259425)	overall_loss (3.754803407536136)	Prec1  (62.2041015625) 	
Training Epoch: [1][3600/4495]	att_loss  (2.079237741220332)	region_loss (4.171184464316672)	overall_loss (3.752795168506672)	Prec1  (62.201904296875) 	
Training Epoch: [1][3700/4495]	att_loss  (2.0792345433130808)	region_loss (4.16447759370358)	overall_loss (3.7474290320951207)	Prec1  (62.23276138305664) 	
Training Epoch: [1][3800/4495]	att_loss  (2.0792347820330157)	region_loss (4.159087553490967)	overall_loss (3.743117047811426)	Prec1  (62.28706741333008) 	
Training Epoch: [1][3900/4495]	att_loss  (2.0792333655588386)	region_loss (4.151982264224152)	overall_loss (3.7374325332137994)	Prec1  (62.34819793701172) 	
Training Epoch: [1][4000/4495]	att_loss  (2.0792324583520294)	region_loss (4.14521660592609)	overall_loss (3.7320198254178862)	Prec1  (62.42072677612305) 	
Training Epoch: [1][4100/4495]	att_loss  (2.0792353632275113)	region_loss (4.140105951474777)	overall_loss (3.7279318830671033)	Prec1  (62.47370910644531) 	
Training Epoch: [1][4200/4495]	att_loss  (2.0792345037008575)	region_loss (4.133760877122087)	overall_loss (3.7228556521533074)	Prec1  (62.533843994140625) 	
Training Epoch: [1][4300/4495]	att_loss  (2.07923475511405)	region_loss (4.127309924473571)	overall_loss (3.7176949399705546)	Prec1  (62.59445571899414) 	
Training Epoch: [1][4400/4495]	att_loss  (2.0792340424569513)	region_loss (4.121023503576347)	overall_loss (3.7126656610081072)	Prec1  (62.64449691772461) 	
Testing [62/63]	att_loss  (2.0792817249298094)	region_loss (4.7591214294433595)	overall_loss (4.223153560638428)	Prec@1  (58.920001525878906)	
Epoch: 1   Test Acc: 58.920001525878906
Epoch: 1  Best so far Test Acc: 58.920001525878906
Training Epoch: [2][0/4495]	att_loss  (2.080705404281616)	region_loss (3.321237325668335)	overall_loss (3.0731308460235596)	Prec1  (71.875) 	
Training Epoch: [2][100/4495]	att_loss  (2.079106422934202)	region_loss (3.7965229832299867)	overall_loss (3.4530397240478212)	Prec1  (65.84158325195312) 	
Training Epoch: [2][200/4495]	att_loss  (2.0791432371186973)	region_loss (3.831823096346499)	overall_loss (3.4812871686261686)	Prec1  (65.41510772705078) 	
Training Epoch: [2][300/4495]	att_loss  (2.07917168370117)	region_loss (3.8351356856450685)	overall_loss (3.483942930088487)	Prec1  (65.28758239746094) 	
Training Epoch: [2][400/4495]	att_loss  (2.0791682596515835)	region_loss (3.842401460519158)	overall_loss (3.489754864699823)	Prec1  (65.3717269897461) 	
Training Epoch: [2][500/4495]	att_loss  (2.0791631644357462)	region_loss (3.8452905371279535)	overall_loss (3.4920651070372073)	Prec1  (65.16342163085938) 	
Training Epoch: [2][600/4495]	att_loss  (2.0791806377309334)	region_loss (3.853460943441026)	overall_loss (3.4986049276025044)	Prec1  (65.11802673339844) 	
Training Epoch: [2][700/4495]	att_loss  (2.0791873618981636)	region_loss (3.842015146358887)	overall_loss (3.489449636402212)	Prec1  (65.21710205078125) 	
Training Epoch: [2][800/4495]	att_loss  (2.079189975312289)	region_loss (3.838044167160244)	overall_loss (3.4862733753432944)	Prec1  (65.23876190185547) 	
Training Epoch: [2][900/4495]	att_loss  (2.0792054415542993)	region_loss (3.8312434837900176)	overall_loss (3.4808359217564355)	Prec1  (65.31285095214844) 	
Training Epoch: [2][1000/4495]	att_loss  (2.079204950894747)	region_loss (3.8321820112851475)	overall_loss (3.4815866466049665)	Prec1  (65.30968475341797) 	
Training Epoch: [2][1100/4495]	att_loss  (2.079212401370153)	region_loss (3.8265348407596376)	overall_loss (3.4770703997858865)	Prec1  (65.35394287109375) 	
Training Epoch: [2][1200/4495]	att_loss  (2.079207687155591)	region_loss (3.8161567839655053)	overall_loss (3.4687670120887217)	Prec1  (65.38951873779297) 	
Training Epoch: [2][1300/4495]	att_loss  (2.0792082023107485)	region_loss (3.806050088202193)	overall_loss (3.4606817578646334)	Prec1  (65.45325469970703) 	
Training Epoch: [2][1400/4495]	att_loss  (2.079213814936222)	region_loss (3.7993783123743357)	overall_loss (3.455345459617435)	Prec1  (65.46997833251953) 	
Training Epoch: [2][1500/4495]	att_loss  (2.0792138781410943)	region_loss (3.7881125015548514)	overall_loss (3.4463328223955942)	Prec1  (65.56670379638672) 	
Training Epoch: [2][1600/4495]	att_loss  (2.079213085508138)	region_loss (3.781042299890131)	overall_loss (3.4406765024041026)	Prec1  (65.630859375) 	
Training Epoch: [2][1700/4495]	att_loss  (2.079207747631533)	region_loss (3.778268862443416)	overall_loss (3.4384566843334468)	Prec1  (65.63785552978516) 	
Training Epoch: [2][1800/4495]	att_loss  (2.0792078013422755)	region_loss (3.7683562787620972)	overall_loss (3.430526628287748)	Prec1  (65.76380920410156) 	
Training Epoch: [2][1900/4495]	att_loss  (2.079206340630264)	region_loss (3.76473320665515)	overall_loss (3.427627878023536)	Prec1  (65.78856658935547) 	
Training Epoch: [2][2000/4495]	att_loss  (2.079212506254693)	region_loss (3.7606370080893545)	overall_loss (3.4243521527133542)	Prec1  (65.78976440429688) 	
Training Epoch: [2][2100/4495]	att_loss  (2.079215743778888)	region_loss (3.75803559068156)	overall_loss (3.422271665875427)	Prec1  (65.82431030273438) 	
Training Epoch: [2][2200/4495]	att_loss  (2.0792154920258232)	region_loss (3.756373324539379)	overall_loss (3.4209418028173313)	Prec1  (65.84294128417969) 	
Training Epoch: [2][2300/4495]	att_loss  (2.0792174030521133)	region_loss (3.7493110271911423)	overall_loss (3.4152923474773953)	Prec1  (65.91970825195312) 	
Training Epoch: [2][2400/4495]	att_loss  (2.079212753537395)	region_loss (3.7451305665457464)	overall_loss (3.4119470494829183)	Prec1  (65.94712829589844) 	
Training Epoch: [2][2500/4495]	att_loss  (2.0792086432333803)	region_loss (3.7416067933712136)	overall_loss (3.4091272091970404)	Prec1  (65.99797821044922) 	
Training Epoch: [2][2600/4495]	att_loss  (2.079212099256446)	region_loss (3.7373276533231694)	overall_loss (3.405704588305258)	Prec1  (66.03829956054688) 	
Training Epoch: [2][2700/4495]	att_loss  (2.079216551048056)	region_loss (3.733654973860892)	overall_loss (3.4027673348988574)	Prec1  (66.07853698730469) 	
Training Epoch: [2][2800/4495]	att_loss  (2.0792190941773496)	region_loss (3.727407727995671)	overall_loss (3.397770047315484)	Prec1  (66.12203216552734) 	
Training Epoch: [2][2900/4495]	att_loss  (2.0792211750711664)	region_loss (3.723287544592378)	overall_loss (3.394474317024018)	Prec1  (66.1948471069336) 	
Training Epoch: [2][3000/4495]	att_loss  (2.079219071080946)	region_loss (3.7194943260407696)	overall_loss (3.391439321080036)	Prec1  (66.22532653808594) 	
Training Epoch: [2][3100/4495]	att_loss  (2.079220126575518)	region_loss (3.7149979854468107)	overall_loss (3.387842460049233)	Prec1  (66.28103637695312) 	
Training Epoch: [2][3200/4495]	att_loss  (2.079218850140272)	region_loss (3.7121606381823593)	overall_loss (3.385572326887179)	Prec1  (66.30935668945312) 	
Training Epoch: [2][3300/4495]	att_loss  (2.0792132674907418)	region_loss (3.7096466049574532)	overall_loss (3.383559983919982)	Prec1  (66.33454132080078) 	
Training Epoch: [2][3400/4495]	att_loss  (2.079214256043225)	region_loss (3.7060709724493566)	overall_loss (3.380699675772268)	Prec1  (66.39131927490234) 	
Training Epoch: [2][3500/4495]	att_loss  (2.079213298276233)	region_loss (3.701651130598363)	overall_loss (3.377163610877871)	Prec1  (66.43013000488281) 	
Training Epoch: [2][3600/4495]	att_loss  (2.0792129585988586)	region_loss (3.6947792705910896)	overall_loss (3.371666055095093)	Prec1  (66.49758911132812) 	
Training Epoch: [2][3700/4495]	att_loss  (2.0792162274064583)	region_loss (3.6889779593486525)	overall_loss (3.3670256597807007)	Prec1  (66.55760192871094) 	
Training Epoch: [2][3800/4495]	att_loss  (2.079218453841597)	region_loss (3.684301248947842)	overall_loss (3.363284737083417)	Prec1  (66.5902099609375) 	
Training Epoch: [2][3900/4495]	att_loss  (2.079219389438507)	region_loss (3.6827127363888983)	overall_loss (3.3620141141691504)	Prec1  (66.60832214355469) 	
Training Epoch: [2][4000/4495]	att_loss  (2.0792169917139285)	region_loss (3.679401005485361)	overall_loss (3.3593642504267085)	Prec1  (66.65482330322266) 	
Training Epoch: [2][4100/4495]	att_loss  (2.0792168295985167)	region_loss (3.6744727425039234)	overall_loss (3.3554216080600243)	Prec1  (66.7184829711914) 	
Training Epoch: [2][4200/4495]	att_loss  (2.07921310834333)	region_loss (3.669941608181059)	overall_loss (3.351795956623665)	Prec1  (66.74526977539062) 	
Training Epoch: [2][4300/4495]	att_loss  (2.079212344654547)	region_loss (3.6645303715996564)	overall_loss (3.347466814881063)	Prec1  (66.80496215820312) 	
Training Epoch: [2][4400/4495]	att_loss  (2.079213661054296)	region_loss (3.659758276030357)	overall_loss (3.3436494018781784)	Prec1  (66.8385009765625) 	
Testing [62/63]	att_loss  (2.079261392593384)	region_loss (5.097433254241944)	overall_loss (4.493798984527588)	Prec@1  (57.95000457763672)	
Epoch: 2   Test Acc: 57.95000457763672
Training Epoch: [3][0/4495]	att_loss  (2.0785253047943115)	region_loss (3.0898048877716064)	overall_loss (2.8875489234924316)	Prec1  (73.4375) 	
Training Epoch: [3][100/4495]	att_loss  (2.079138186898562)	region_loss (3.433961788026413)	overall_loss (3.1629971135960946)	Prec1  (68.50247192382812) 	
Training Epoch: [3][200/4495]	att_loss  (2.0791797827725387)	region_loss (3.483267488764293)	overall_loss (3.2024499943007285)	Prec1  (68.35354614257812) 	
Training Epoch: [3][300/4495]	att_loss  (2.079223295382883)	region_loss (3.436258794461374)	overall_loss (3.164851746289833)	Prec1  (68.7915267944336) 	
Training Epoch: [3][400/4495]	att_loss  (2.0792107736677896)	region_loss (3.4290560986335734)	overall_loss (3.1590870812052207)	Prec1  (69.02275848388672) 	
Training Epoch: [3][500/4495]	att_loss  (2.0792226729516736)	region_loss (3.430599086060971)	overall_loss (3.1603238539781398)	Prec1  (69.0556411743164) 	
Training Epoch: [3][600/4495]	att_loss  (2.079223591952078)	region_loss (3.4280482859857466)	overall_loss (3.158283398076024)	Prec1  (69.1061782836914) 	
Training Epoch: [3][700/4495]	att_loss  (2.0792289725724027)	region_loss (3.4245264103341206)	overall_loss (3.155466972336109)	Prec1  (69.26043701171875) 	
Training Epoch: [3][800/4495]	att_loss  (2.0792360005158463)	region_loss (3.4220650346389276)	overall_loss (3.153499276301685)	Prec1  (69.22596740722656) 	
Training Epoch: [3][900/4495]	att_loss  (2.0792380768503915)	region_loss (3.4143418346208154)	overall_loss (3.147321133317217)	Prec1  (69.29973602294922) 	
Training Epoch: [3][1000/4495]	att_loss  (2.079240155386758)	region_loss (3.4124507076375847)	overall_loss (3.145808647562574)	Prec1  (69.36188507080078) 	
Training Epoch: [3][1100/4495]	att_loss  (2.0792351977376913)	region_loss (3.4089936074292413)	overall_loss (3.1430419759247976)	Prec1  (69.46100616455078) 	
Training Epoch: [3][1200/4495]	att_loss  (2.079234938538144)	region_loss (3.4062445593515505)	overall_loss (3.1408426853937472)	Prec1  (69.49286651611328) 	
Training Epoch: [3][1300/4495]	att_loss  (2.0792402420293175)	region_loss (3.4054773367889837)	overall_loss (3.1402299681780064)	Prec1  (69.46339416503906) 	
Training Epoch: [3][1400/4495]	att_loss  (2.079236271890209)	region_loss (3.3987869475246923)	overall_loss (3.1348768617322325)	Prec1  (69.50057983398438) 	
Training Epoch: [3][1500/4495]	att_loss  (2.079228947116565)	region_loss (3.4020228486788584)	overall_loss (3.1374641177179337)	Prec1  (69.43912506103516) 	
Training Epoch: [3][1600/4495]	att_loss  (2.079234108487045)	region_loss (3.3972746306549824)	overall_loss (3.1336665757368087)	Prec1  (69.44683074951172) 	
Training Epoch: [3][1700/4495]	att_loss  (2.079233121199162)	region_loss (3.3988809883419306)	overall_loss (3.134951464573402)	Prec1  (69.42423248291016) 	
Training Epoch: [3][1800/4495]	att_loss  (2.079232835293081)	region_loss (3.3925508553289427)	overall_loss (3.129887300819109)	Prec1  (69.51519775390625) 	
